TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,82,33,49,"3,956",100.4,105,-4,57,1.3,16,30,69,49,16.6,47,52,93,47,"7,678",
Boston Celtics,82,49,33,"3,966",102.1,100,2.2,60,2,16.4,27,69.5,48,14,48,52,94,50,"7,738",
Charlotte Hornets,82,44,38,3951,102.9,102,1,61,2,17,33,69,51,15.4,47,51,91,51.3,"7,480",
Chicago Bulls,82,21,61,3961,97.2,106.2,-9.1,65,1.45,17,30,69,49,17,46,50,92,44,"7,549",
Cleveland Cavaliers,82,29,53,"3,971",103,107,-4,64,2,17.8,32,69,51,15.8,48,52.4,91,48.2,"7,553",
Dallas Mavericks,82,57,25,3976,110.3,106,4.3,56.6,1.83,17,29,68,49,12.7,51,55,94,51.7,"7,823",
Denver Nuggets,82,27,55,"3,961",100,107,-6,62,2,17,34,66.8,50,16,46,49.5,91,44,"7,537",
Detroit Pistons,82,50,32,3936,103.2,100.9,2.3,62,1.48,17.3,28,68,48,15.9,50,54,91,52.3,"7,495",
Golden State Warriors,82,21,61,"3,956",102,107,-6,57,1,15,37,66.9,52,18,45,50,96,45.6,"7,890",
Houston Rockets,82,28,54,3996,101.6,106.9,-5.4,52.2,1.28,14.6,32.7,67.5,50,15.5,47,50.7,90,46,"7,456",
Indiana Pacers,82,42,40,"3,981",103,102,0,64,2,18,30,69,50,16.2,48,52.7,93,51,"7,721",
Los Angeles Clippers,82,39,43,3961,104.3,104.7,-0.4,57.7,1.41,16.3,34.9,67.3,51.2,16.1,48,52,91,49.5,"7,524",
Los Angeles Lakers,82,58,24,"3,956",108,100,8,60,2,18,31,69,50,14,50,53.4,93,55,"7,691",
Memphis Grizzlies,82,23,59,3956,96.6,104.7,-8,62.6,1.33,16.9,30.5,66.3,48.3,17.6,46.2,50.1,93,46,"7,629",
Miami Heat,82,36,46,"3,986",97,99,-2,59,1,17,30,71,51,17,46,50,88,50.1,"7,346",
Milwaukee Bucks,82,41,41,3981,105.3,105.6,-0.3,60.7,1.6,17.7,28.7,67.9,49.1,15.2,50.7,54.4,91.51,50.2,"7,591",
Minnesota Timberwolves,82,50,32,3961,107.5,104.1,3,63,2,18,34,70,52,15,49,53,92,53,"7,578",
New Jersey Nets,82,52,30,3966,102.4,98.1,4,65,2,18,32,68,50,15,48,52,93,54,"7,707",
New York Knicks,82,30,52,3961,100.4,104.6,-4.2,61.1,1,17,29,68,49,16,47,51,91,47,"7,487",
Orlando Magic,82,44,38,3966,105.6,104.1,1.5,58.4,2,17,29,67,48,14,49,53,94,50,"7,805",
Philadelphia 76ers,82,43,39,3946,100.5,98.7,1.8,58.4,1.3,16,34,70,52,17,45,51,90,52,"7,424",
Phoenix Suns,82,36,46,3966,101.8,102.6,-0.7,59.3,1.53,17.1,33,67,50,16,47,51,93,49,"7,663",
Portland Trail Blazers,82,49,33,3966,105.9,102.6,3.3,64.1,1.64,18,34.5,70,52,16,49,53,91,52,"7,482",
Sacramento Kings,82,61,21,3951,107.9,99.7,8.1,60,1.74,17.7,30.6,69,50,14,50,54,97,55,"7,951",
San Antonio Spurs,82,58,24,3971,105.4,98.5,6.9,56.4,1.39,16,30.1,68.5,50.1,16,49,54,91,55,"7,528",
Seattle SuperSonics,82,45,37,3966,107.3,104.1,3.3,61.5,1.71,18.3,32,65.6,49,15.1,51,54,90,52,"7,468",
Toronto Raptors,82,42,40,3951,101.1,101.7,-0.6,60.9,1.52,16.9,34.3,67.1,50.3,15.8,46.3,50,90,50,"7,414",
Utah Jazz,82,44,38,3966,103.8,102.9,0.9,69.7,1.48,18.4,36.2,68.3,52.1,17.8,47.2,52.9,91.75,53,"7,582",
Washington Wizards,82,37,45,3946,102.9,104.5,-1.6,58.4,1.61,16.6,32.8,68.5,50.4,14.4,46.4,50.8,89.93,48.6,"7,395",
