TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Chicago Bulls,10,6,4,480,103,101,2,63,1,16.4,33,70,52,17,47,52.2,90,52,901
Cleveland Cavaliers,20,12,8,970,101,99,2,54.5,1,14.7,32,73,52,14.8,46,50.6,87,51.4,"1,756"
Dallas Mavericks,6,2,4,288,104,111,-7,52,1,14,35,69.5,52,17,47,52,95,47.5,570
Denver Nuggets,5,1,4,240,99.5,106.3,-7,52,1,14.4,34,68.6,51,17,45,49.8,89,45,443
Detroit Pistons,16,10,6,778,104,101,3,61.6,2,16.5,32,67,49,15.1,47,52,87,53,"1,406"
Golden State Warriors,11,5,6,533,109.2,107.1,2.2,47,1,13.4,28,61,44,15.3,52,56,97,48.2,"1,074"
Houston Rockets,7,3,4,336,98,102,-4,61,1,15.3,27,69.8,49,17,46,52,89,48.1,624
Los Angeles Lakers,5,1,4,240,102.7,113.4,-10.7,37.9,0.95,11.4,33,69,50,15.9,48,51.3,96,39.2,477
Miami Heat,4,0,4,192,97,109,-12,53,1,15,23,68.2,45,16.1,48,51.2,92,40,367
New Jersey Nets,12,6,6,576,100.4,98,2.4,70.6,1.43,18.6,26,74,51,17.9,50,54,90,52.5,"1,078"
Orlando Magic,4,0,4,192,103,112,-9,52,1,15,32,69,51,17.2,50,51.9,86,42,343
Phoenix Suns,11,6,5,528,109.8,104.6,5.2,59.9,1.69,17.9,29.2,69.7,50.1,14.6,52,56,95,56,"1,043"
San Antonio Spurs,20,16,4,960,106.5,102.2,4.3,56.3,1.43,16.3,29,68.4,49.2,15.5,50.8,54.7,90,53.1,"1,796"
Toronto Raptors,6,2,4,288,99.5,106,-6,50,1,14,23,73,48,16,48,54,91,45,548
Utah Jazz,17,9,8,821,105.2,104.2,0.9,60.9,1.39,16.9,35.5,73.1,54.2,17.2,48.6,53.4,92.49,51.4,"1,582"
Washington Wizards,4,0,4,192,102.5,111.4,-9,55,2,16,24,64,42,10,45,49,90,42,357
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
