TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,7,3,4,336,100,114,-14,60,1,15,35,63,49,18,44,51,87,42,609,
Boston Celtics,26,16,10,"1,248",108,102,5.9,64,1.68,18,33.5,70,51.9,15,48.7,54,87.29,55,"2,270",
Cleveland Cavaliers,13,7,6,624,102.9,100.5,2,65,1,17,32.6,71,51,16,46.5,52,87.35,51,"1,136",
Dallas Mavericks,5,1,4,240,106,116,-10.2,61,1.67,16,35,73,52.6,13,45,51,89,44,444,
Denver Nuggets,4,0,4,192,102.3,115.6,-13.4,49,1,14,34,72,52,15,45.2,50,99.25,41,397,
Detroit Pistons,17,10,7,816,106,103,3,61,1.59,17,31,65,48,15,48.5,54,87,53,"1,467",
Houston Rockets,6,2,4,288,101.9,105.2,-3.3,48.2,1.43,13,34.2,67,49.9,13,45,49,86.17,47,518,
Los Angeles Lakers,21,14,7,"1,013",109,106,3,57,2,16,26.7,68,48.2,14,51.2,56,93.82,52,"1,977",
New Orleans Hornets,12,7,5,576,110.3,105.5,4.8,51.2,2.18,16.2,27.2,71,49,10,49.9,54,87.83,53,"1,051",
Orlando Magic,10,5,5,480,110,107,2,49,1,15,32,71,52.2,16,53,56,89,49,887,
Philadelphia 76ers,6,2,4,288,97.2,106.3,-9.1,50.8,1.07,13.1,39.1,64.3,50.8,17,43,49,87.83,44,530,
Phoenix Suns,5,1,4,250,103,106,-3,50,2,15,26,73,50,13,49.2,52,93.22,50,487,
San Antonio Spurs,17,9,8,826,103,104.1,-1.1,57.3,1.59,16.6,24.2,73.7,49.1,14,49.3,53,90.13,49,"1,552",
Toronto Raptors,5,1,4,240,109,115,-6,65,2,19,29,67,47,11,48,53,90.8,47,455,
Utah Jazz,12,6,6,581,108.3,109,-0.7,58.8,1.66,16.6,36.4,68.7,52.2,14.1,48.1,52.8,90.38,50,"1,096",
Washington Wizards,6,2,4,288,103,107,-4,49,1,13,29,66,47,14,47,52,89,46,536,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
