TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,53,29,"3,971",111,106,5,56,2,17,32,69,50,13,51,54.5,91,52.3,"7,515"
Boston Celtics,82,50,32,"3,956",107,103,4,64,2,19,27,70,49,16,52,56.4,92,54,"7,609"
Charlotte Bobcats,82,44,38,"3,976",104,102,2,58,1,16,32,69.8,51,17,49,53.8,91,52,"7,519"
Chicago Bulls,82,41,41,3981,102.6,104.2,-2,55.3,1,16,30,71,51,15.1,48,52,94,50,"7,794"
Cleveland Cavaliers,82,61,21,3956,111,104,7,59,2,18,29,73,52,15,53,57,92,55.2,"7,573"
Dallas Mavericks,82,55,27,3976,107.8,105,2.8,61.1,2,18,28,70,49,14,51,55.2,94,53.4,"7,757"
Denver Nuggets,82,53,29,3956,110.8,106.5,4.4,55,1.51,16,30,69,50,14,51,56,96,52,"7,876"
Detroit Pistons,82,27,55,3956,104.5,110.3,-6,54,1,16,35,69.7,51,14.9,47,51.5,89,45,"7,379"
Golden State Warriors,82,26,56,3946,107,110.3,-3,55,2,17,25,65.9,45,14,51,56,102,47,"8,338"
Houston Rockets,82,42,40,3981,106.8,106.8,0,57.9,1.51,16.5,30.9,69.9,50,15,49,53.7,95,48.9,"7,857"
Indiana Pacers,82,32,50,3941,103,106,-3,57,1,16,26,69,47,15,49,54,98,48,"8,024"
Los Angeles Clippers,82,29,53,3941,102.3,109.1,-6.8,60.3,1.41,17.1,30.5,69.7,50,16.8,49,53,93,46.5,"7,670"
Los Angeles Lakers,82,57,25,3966,107.6,102.7,4.9,55,2,16,31,71,51,14,50,53.8,94,52.9,"7,749"
Memphis Grizzlies,82,40,42,3981,107.5,109,-1.5,47.9,1.24,14.4,35.5,69.8,52.3,16,49.4,53.6,94,48.6,"7,816"
Miami Heat,82,47,35,3976,105.7,103.4,2.4,51.9,1.43,15,29,70,50,14,50,54,90,52.2,"7,485"
Milwaukee Bucks,82,46,36,3996,104,101.9,2.1,57,1.6,16.4,29.8,72.6,50.1,14.1,48.2,51.8,92.6,49.5,"7,698"
Minnesota Timberwolves,82,15,67,3956,100.6,110.4,-9.8,52.4,1.22,15,31,71,50,17,48,52,97,43,"8,002"
New Jersey Nets,82,12,70,3956,99.3,108.9,-9.6,54.7,1.3,15.1,29,69,48,16,46,51,93,43,"7,628"
New Orleans Hornets,82,37,45,3966,106.5,108.9,-2.4,57.5,1.66,17.3,28,70,49,14,51,54,94,48,"7,721"
New York Knicks,82,29,53,3976,106.4,110.3,-4,56.7,1.54,16.6,27,69,48,15,51,55,95,47,"7,872"
Oklahoma City Thunder,82,50,32,3961,107,103.5,3.5,53.5,1.34,15.5,32,69,51,16,49,55,94,53,"7,774"
Orlando Magic,82,59,23,3946,110.7,102.8,7.9,53.7,1.4,15.8,28,73,51,15,54,57,93,55,"7,614"
Philadelphia 76ers,82,27,55,3961,104.8,108.9,-4.1,55.8,1.45,16.4,31,69,50,16,50,53,93,48,"7,648"
Phoenix Suns,82,54,28,3946,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50,15,55,59,96,54,"7,937"
Portland Trail Blazers,82,50,32,3971,109.6,106.1,3.5,56.3,1.65,16.6,32,70.2,51,13.8,50,55,89,53,"7,339"
Sacramento Kings,82,25,57,3976,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70,50.4,15.6,49,53,95,47,"7,855"
San Antonio Spurs,82,50,32,3956,109.3,103.9,5.4,58.1,1.64,17.4,30.3,72,51.5,14.7,51.5,55.2,92,53,"7,605"
Toronto Raptors,82,40,42,3956,110.2,112.2,-2,56.4,1.64,17.1,28.8,69.2,49.5,14.2,52.1,56.4,94,49,"7,746"
Utah Jazz,82,53,29,3951,109.7,104,5.7,67.8,1.76,19.8,31.3,71.8,52,16,52.4,56.5,94.68,55,"7,791"
Washington Wizards,82,26,56,3966,103.1,108.3,-5.3,51.8,1.28,15,31.7,69.1,50.1,15.9,48.1,52.4,92.6,46.2,"7,656"
